item_id,order_id,product_id,product_name,category,quantity,unit_price,line_total,sku
ITM1872177,ORD261050,PROD7370,SENIOR_PROD7370,Home & Garden,4,36.94,147.76,SKU-14903
ITM2420229,ORD261050,PROD5537,exactly_PROD5537,Home & Garden,1,282.87,282.87,SKU-23787
ITM3658543,ORD317005,PROD1608,baby_prod1608,,5,212.82,1064.1,SKU-76032
ITM6531891,ORD317005,PROD7597,KNOW_PROD7597,,2,227.09,454.18,SKU-19204
ITM9047145,ORD317005,PROD4626,participant_prod4626,Electronics,2,232.3,464.6,SKU-34672
ITM6567096,ORD317005,PROD2085,THOUGH_PROD2085,Electronics,2,286.66,573.32,SKU-72195
ITM5895214,ORD317005,PROD2219,occur_PROD2219,Sports,4,129.25,517.0,SKU-41940
ITM5137094,ORD317005,PROD8792,CHARGE_PROD8792,Home & Garden,3,47.38,142.14,SKU-54912
ITM9084139,ORD195563,PROD8420,hot_prod8420,,4,445.15,1780.6,SKU-89873
ITM5640157,ORD195563,PROD6557,COLOR_PROD6557,,5,41.49,207.45,SKU-35146
ITM8378814,ORD195563,PROD5778,animal_PROD5778,Clothing,3,284.96,854.88,SKU-59457
ITM1629675,ORD195563,PROD5621,again_PROD5621,Books,2,165.58,331.16,SKU-61109
ITM9330422,ORD561101,PROD2019,GENERATION_PROD2019,ELECTRONICS,2,242.3,484.6,SKU-87032
ITM2201658,ORD561101,PROD7520,all_prod7520,Sports,1,481.45,481.45,SKU-31213
ITM5894796,ORD189870,PROD1041,RATHER_PROD1041,Electronics,2,256.42,512.84,SKU-74336
ITM5285929,ORD189870,PROD2475,HEALTH_PROD2475,Electronics,2,446.51,893.02,SKU-59194
ITM6348981,ORD661527,PROD6226,star_PROD6226,,1,209.54,209.54,SKU-70623
ITM1051692,ORD661527,PROD9126,SUBJECT_PROD9126,electronics,5,396.4,1982.0,SKU-91589
ITM6100113,ORD661527,PROD1528,GOAL_PROD1528,Home & Garden,2,398.2,796.4,SKU-15610
ITM2106611,ORD661527,PROD7611,soon_prod7611,Home & Garden,3,185.62,556.86,SKU-37811
ITM3490769,ORD661527,PROD2167,OPTION_PROD2167,Electronics,1,334.82,334.82,SKU-61680
ITM1995202,ORD626491,PROD6527,MIDDLE_PROD6527,Home & Garden,3,264.07,792.21,SKU-85005
ITM7790186,ORD626491,PROD1108,describe_PROD1108,Sports,1,464.41,464.41,SKU-98348
ITM2121365,ORD626491,PROD6617,them_prod6617,Electronics,2,223.05,446.1,SKU-31564
ITM5920470,ORD626491,PROD5782,BUILDING_PROD5782,electronics,3,234.2,702.6,SKU-48450
